boundary,file,line,snippet
BACKGROUND_ASYNC,tests/integration/test_pure_core_features.py,1138,task = asyncio.create_task(
BACKGROUND_ASYNC,tests/integration/test_pure_core_features.py,1191,task = asyncio.create_task(
BACKGROUND_ASYNC,tests/integration/test_pure_core_features.py,1235,task = asyncio.create_task(
BACKGROUND_ASYNC,tests/integration/test_pure_core_features.py,1935,with ThreadPoolExecutor(max_workers=8) as executor:
BACKGROUND_ASYNC,tests/unit/test_app_lifecycle.py,14,real_create_task = asyncio.create_task
BACKGROUND_ASYNC,tests/unit/test_async_sync_io.py,59,ticker_task = asyncio.create_task(ticker())
BACKGROUND_ASYNC,tests/unit/test_async_sync_io.py,124,ticker_task = asyncio.create_task(ticker())
BACKGROUND_ASYNC,tests/unit/test_async_sync_io.py,175,holder_task = asyncio.create_task(holder())
BACKGROUND_ASYNC,tests/unit/test_async_sync_io.py,178,"waiter_task = asyncio.create_task(runner(""cancelled"", lambda: None))"
BACKGROUND_ASYNC,tests/unit/test_async_sync_io.py,227,"task = asyncio.create_task(bhm_app._run_bounded_read(""cancelled-resource"", blocking_read))"
BACKGROUND_ASYNC,tests/unit/test_async_sync_io.py,339,"asyncio.create_task(bhm_app._run_bounded_read(f""mixed.read.{index}"", read_work))"
BACKGROUND_ASYNC,tests/unit/test_async_sync_io.py,343,"asyncio.create_task(bhm_app._run_bounded_write(f""mixed.write.{index}"", write_work))"
BACKGROUND_ASYNC,tests/unit/test_mcp_streamable_http.py,662,slow_call = asyncio.create_task(
BACKGROUND_ASYNC,tests/unit/test_mcp_streamable_http.py,697,"asyncio.create_task(_initialize_named(client, index, f""client-{index}""))"
BACKGROUND_ASYNC,tests/unit/test_mcp_streamable_http.py,768,"cancelled = asyncio.create_task(_initialize_named(client, 2, ""cancelled""))"
BACKGROUND_ASYNC,tests/unit/test_mcp_streamable_http.py,769,"queued = asyncio.create_task(_initialize_named(client, 3, ""survivor""))"
BACKGROUND_ASYNC,tests/unit/test_mcp_streamable_http.py,830,"asyncio.create_task(_initialize_named(client, index, f""client-{index}""))"
BACKGROUND_ASYNC,tests/unit/test_task_lifecycle.py,3,from concurrent.futures import ThreadPoolExecutor
BACKGROUND_ASYNC,tests/unit/test_task_lifecycle.py,101,with ThreadPoolExecutor(max_workers=4) as pool:
FILESYSTEM,control/scripts/shared/Invoke-Utf8Script.ps1,115,Remove-Item -LiteralPath $tempPath -Force
FILESYSTEM,plugins/bhm-codex-connector/scripts/set-bhm-profile.ps1,39,Copy-Item -LiteralPath $EnvPath -Destination $backupPath -Force
FILESYSTEM,plugins/bhm-codex-connector/scripts/start-bhm-workbench.ps1,96,Remove-Item Env:BHM_WORKBENCH_PORT -ErrorAction SilentlyContinue
FILESYSTEM,plugins/bhm-codex-connector/scripts/start-bhm-workbench.ps1,102,Remove-Item Env:BHM_WORKBENCH_CAPABILITY -ErrorAction SilentlyContinue
FILESYSTEM,plugins/bhm-codex-connector/scripts/start-bhm-workbench.ps1,111,Remove-Item -LiteralPath $capabilityPath -Force -ErrorAction SilentlyContinue
FILESYSTEM,scripts/apply-bhm-permission-attestation.py,26,"return json.loads(path.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/apply-bhm-permission-attestation.py,99,"registry_path.write_text(json.dumps(registry, indent=2, ensure_ascii=False) + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/apply-bhm-permission-attestation.py,119,"manifest_path.write_text(json.dumps(manifest, indent=2, ensure_ascii=False) + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/apply-bhm-permission-attestation.py,124,"parser.add_argument(""--repo-root"", type=Path, default=Path(__file__).resolve().parents[1])"
FILESYSTEM,scripts/apply-bhm-permission-attestation.py,130,repo = args.repo_root.resolve()
FILESYSTEM,scripts/apply-bhm-permission-attestation.py,138,"ledger_path.write_text(json.dumps(ledger, indent=2, ensure_ascii=False) + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/apply-bhm-qdrant-user-scope-backfill.py,166,"payload_path.write_text(payload_text, encoding=""utf-8"")"
FILESYSTEM,scripts/apply-bhm-qdrant-user-scope-backfill.py,167,payload_sha = hashlib.sha256(payload_path.read_bytes()).hexdigest()
FILESYSTEM,scripts/apply-bhm-qdrant-user-scope-backfill.py,178,"manifest_path.write_text(json.dumps(manifest, ensure_ascii=False, indent=2) + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/apply-bhm-qdrant-user-scope-backfill.py,179,"verify_lines = payload_path.read_text(encoding=""utf-8"").splitlines()"
FILESYSTEM,scripts/apply-bhm-qdrant-user-scope-backfill.py,209,"manifest = json.loads(manifest_path.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/apply-bhm-qdrant-user-scope-backfill.py,212,"if hashlib.sha256(payload_path.read_bytes()).hexdigest() != manifest.get(""payload_sha256""):"
FILESYSTEM,scripts/apply-bhm-qdrant-user-scope-backfill.py,214,"rows = [json.loads(line) for line in payload_path.read_text(encoding=""utf-8"").splitlines() if line.strip()]"
FILESYSTEM,scripts/audit-bhm-cleanup.py,79,return hashlib.sha256(path.read_bytes()).hexdigest()
FILESYSTEM,scripts/audit-bhm-cleanup.py,83,root = root.resolve()
FILESYSTEM,scripts/audit-bhm-cleanup.py,88,raw = path.read_bytes()
FILESYSTEM,scripts/audit-bhm-cleanup.py,134,"parser.add_argument(""--root"", type=Path, default=Path(__file__).resolve().parents[1])"
FILESYSTEM,scripts/benchmark-bhm-wi01-repository-index.py,90,"with tempfile.TemporaryDirectory(prefix=""bhm-wi01-benchmark-"") as raw:"
FILESYSTEM,scripts/benchmark-bhm-wi01-repository-index.py,91,temp = Path(raw)
FILESYSTEM,scripts/benchmark-bhm-wi01-repository-index.py,176,"args.report.write_text(rendered, encoding=""utf-8"", newline=""\n"")"
FILESYSTEM,scripts/benchmark-bhm-wi02-code-graph.py,26,"path.write_text(""\n"".join(lines) + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi02-code-graph.py,46,"with tempfile.TemporaryDirectory(prefix=""bhm-wi02-benchmark-"") as temp:"
FILESYSTEM,scripts/benchmark-bhm-wi02-code-graph.py,47,temp_root = Path(temp)
FILESYSTEM,scripts/benchmark-bhm-wi02-code-graph.py,86,output = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi02-code-graph.py,88,"output.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi03-code-graph-query.py,25,"with path.open(""rb"") as handle:"
FILESYSTEM,scripts/benchmark-bhm-wi03-code-graph-query.py,35,path.write_text(
FILESYSTEM,scripts/benchmark-bhm-wi03-code-graph-query.py,53,"with tempfile.TemporaryDirectory(prefix=""bhm-wi03-benchmark-"") as temp:"
FILESYSTEM,scripts/benchmark-bhm-wi03-code-graph-query.py,54,base = Path(temp)
FILESYSTEM,scripts/benchmark-bhm-wi03-code-graph-query.py,120,target = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi03-code-graph-query.py,122,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi04-conventions.py,23,"with path.open(""rb"") as handle:"
FILESYSTEM,scripts/benchmark-bhm-wi04-conventions.py,52,"with tempfile.TemporaryDirectory(prefix=""bhm-wi04-benchmark-"") as raw:"
FILESYSTEM,scripts/benchmark-bhm-wi04-conventions.py,53,temp = Path(raw)
FILESYSTEM,scripts/benchmark-bhm-wi04-conventions.py,99,output = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi04-conventions.py,101,"output.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi05-session-capture.py,109,target = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi05-session-capture.py,111,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi06-memory-graph.py,30,return hashlib.sha256(path.read_bytes()).hexdigest()
FILESYSTEM,scripts/benchmark-bhm-wi06-memory-graph.py,41,"with tempfile.TemporaryDirectory(prefix=""bhm-wi06-benchmark-"") as raw:"
FILESYSTEM,scripts/benchmark-bhm-wi06-memory-graph.py,42,"database = Path(raw) / ""memory.sqlite3"""
FILESYSTEM,scripts/benchmark-bhm-wi06-memory-graph.py,82,target = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi06-memory-graph.py,84,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi07-task-graph.py,25,return hashlib.sha256(path.read_bytes()).hexdigest()
FILESYSTEM,scripts/benchmark-bhm-wi07-task-graph.py,36,"with tempfile.TemporaryDirectory(prefix=""bhm-wi07-benchmark-"") as raw:"
FILESYSTEM,scripts/benchmark-bhm-wi07-task-graph.py,37,"database = Path(raw) / ""tasks.sqlite3"""
FILESYSTEM,scripts/benchmark-bhm-wi07-task-graph.py,58,target = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi07-task-graph.py,60,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi08-unified-context.py,71,output = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi08-unified-context.py,73,"output.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi09-llm-code-fabric.py,36,target = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi09-llm-code-fabric.py,38,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi10-factories.py,52,target = Path(args.report).expanduser().resolve()
FILESYSTEM,scripts/benchmark-bhm-wi10-factories.py,54,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi11-unified-mcp.py,58,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi12-human-ui.py,48,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi13-capability-router.py,42,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi14-migration.py,47,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi143-semantic-relevance.py,13,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi143-semantic-relevance.py,88,"args.output.write_text(payload, encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi144-dependency-provenance.py,11,ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi145-language-inventory.py,12,ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi146-mcp-reconnect-receipt.py,12,ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi15-security.py,64,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi150-parser-families.py,14,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi150-parser-families.py,114,"args.output.write_text(payload, encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi153-parser-families.py,14,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi153-parser-families.py,114,"args.output.write_text(payload, encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi155-galaxy-quality-disclosure.py,12,"FIXTURE = Path(__file__).resolve().parents[1] / ""tests"" / ""fixtures"" / ""galaxy_query_quality_receipt.json"""
FILESYSTEM,scripts/benchmark-bhm-wi155-galaxy-quality-disclosure.py,36,"receipt = json.loads(FIXTURE.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/benchmark-bhm-wi156-terraform-data-source.py,14,ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi157-dependency-constraints.py,30,"with tempfile.TemporaryDirectory(prefix=""bhm-wi157-"") as directory:"
FILESYSTEM,scripts/benchmark-bhm-wi157-dependency-constraints.py,31,root = Path(directory)
FILESYSTEM,scripts/benchmark-bhm-wi158-bitbake-parser.py,14,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi158-bitbake-parser.py,114,"args.output.write_text(payload, encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi162-github-actions.py,14,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi162-github-actions.py,128,"args.output.write_text(payload, encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-bhm-wi165-mcp-panel-catalog.py,11,"sys.path.insert(0, str(Path(__file__).resolve().parents[1] / ""src""))"
FILESYSTEM,scripts/benchmark-bhm-wi167-mcp-catalog-coverage.py,12,ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-bhm-wi17-product-value.py,37,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/benchmark-hook-queue.py,16,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-hook-queue.py,128,"args.path.resolve(),"
FILESYSTEM,scripts/benchmark-hook-queue.py,135,"with tempfile.TemporaryDirectory(prefix=""bhm-hook-queue-"") as temp_dir:"
FILESYSTEM,scripts/benchmark-hook-queue.py,137,"Path(temp_dir) / ""hook-jobs.sqlite3"","
FILESYSTEM,scripts/benchmark-observation-store.py,15,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/benchmark-observation-store.py,99,"report = run_benchmark(args.path.resolve(), args.iterations, args.warmup, args.payload_bytes)"
FILESYSTEM,scripts/benchmark-observation-store.py,101,"with tempfile.TemporaryDirectory(prefix=""bhm-observation-store-"") as temp_dir:"
FILESYSTEM,scripts/benchmark-observation-store.py,103,"Path(temp_dir) / ""observations.sqlite3"","
FILESYSTEM,scripts/bhm-admin-capability.ps1,110,Remove-Item Env:BHM_ADMIN_CAPABILITY -ErrorAction SilentlyContinue
FILESYSTEM,scripts/bhm-capability-router.py,25,"payload = json.loads(args.fixture.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-capability-router.py,52,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-cbm-local-llm.py,18,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm-cbm-local-llm.py,40,"payload = json.loads(path.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-cbm-local-llm.py,61,"path.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-cbm-local-llm.py,74,context_path = Path(args.context_file).expanduser().resolve()
FILESYSTEM,scripts/bhm-cbm-local-llm.py,75,graph_path = Path(args.graph_file).expanduser().resolve()
FILESYSTEM,scripts/bhm-cbm-local-llm.py,87,"""database"": str(Path(args.database).expanduser().resolve()),"
FILESYSTEM,scripts/bhm-cbm-local-llm.py,163,"""model_id"": Path(model_id).name,"
FILESYSTEM,scripts/bhm-cbm-local-llm.py,187,"_emit(report, Path(args.report).expanduser().resolve())"
FILESYSTEM,scripts/bhm-code-graph-query.py,16,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm-code-graph-query.py,24,target = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-code-graph-query.py,26,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-code-graph-query.py,46,root = Path(args.root).expanduser().resolve()
FILESYSTEM,scripts/bhm-code-graph.py,17,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm-code-graph.py,26,output = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-code-graph.py,28,"output.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-code-graph.py,32,"return json.loads(path.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-code-graph.py,36,root = Path(args.root).expanduser().resolve() if args.root else REPO_ROOT
FILESYSTEM,scripts/bhm-code-graph.py,37,database = Path(args.database).expanduser().resolve() if args.database else DEFAULT_DATABASE
FILESYSTEM,scripts/bhm-code-graph.py,71,"flags = _config(Path(args.feature_config)).get(""feature_flags"") or {}"
FILESYSTEM,scripts/bhm-conventions.py,20,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm-conventions.py,29,target = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-conventions.py,31,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-conventions.py,35,"return json.loads(path.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-conventions.py,39,root = Path(args.root).expanduser().resolve() if args.root else REPO_ROOT
FILESYSTEM,scripts/bhm-conventions.py,40,database = Path(args.database).expanduser().resolve() if args.database else DEFAULT_DATABASE
FILESYSTEM,scripts/bhm-conventions.py,51,"flags = _config(Path(args.feature_config)).get(""feature_flags"") or {}"
FILESYSTEM,scripts/bhm-factories.py,18,target = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-factories.py,20,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-factories.py,38,"payload = json.loads(Path(args.fixture).expanduser().resolve().read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-human-ui.py,21,"payload = json.loads(args.fixture.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-human-ui.py,31,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-llm-code-fabric.py,19,target = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-llm-code-fabric.py,21,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-llm-code-fabric.py,47,"payload = json.loads(Path(args.payload_file).expanduser().resolve().read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-mcp-doctor.py,13,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm-memory-graph.py,21,target = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-memory-graph.py,23,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-memory-graph.py,29,"payload = json.loads(Path(path).expanduser().resolve().read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-memory-graph.py,60,database = Path(args.database).expanduser().resolve()
FILESYSTEM,scripts/bhm-migration.py,20,"payload = json.loads(args.fixture.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-migration.py,30,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-product-value.py,20,"payload = json.loads(args.fixture.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-product-value.py,29,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-release-operator.ps1,108,$reader = [IO.StreamReader]::new($entry.Open())
FILESYSTEM,scripts/bhm-release-operator.ps1,242,Copy-Item -LiteralPath $runtime -Destination $StageRoot -Recurse -Force
FILESYSTEM,scripts/bhm-release-operator.ps1,290,Move-Item -LiteralPath $extracted -Destination $stageRoot -Force
FILESYSTEM,scripts/bhm-release-operator.ps1,291,Remove-Item -LiteralPath $extractRoot -Recurse -Force -ErrorAction SilentlyContinue
FILESYSTEM,scripts/bhm-release-operator.ps1,295,Copy-Item -LiteralPath $Target -Destination $Backup -Recurse -Force
FILESYSTEM,scripts/bhm-release-operator.ps1,297,Remove-Item -LiteralPath $Target -Recurse -Force
FILESYSTEM,scripts/bhm-release-operator.ps1,299,Move-Item -LiteralPath $stageRoot -Destination $Target -Force
FILESYSTEM,scripts/bhm-release-operator.ps1,316,if (Test-Path -LiteralPath $stageRoot) { Remove-Item -LiteralPath $stageRoot -Recurse -Force -ErrorAction SilentlyContinue }
FILESYSTEM,scripts/bhm-release-operator.ps1,317,if (Test-Path -LiteralPath $extractRoot) { Remove-Item -LiteralPath $extractRoot -Recurse -Force -ErrorAction SilentlyContinue }
FILESYSTEM,scripts/bhm-release-operator.ps1,368,if (Test-Path -LiteralPath $target) { Move-Item -LiteralPath $target -Destination $failedCurrent -Force }
FILESYSTEM,scripts/bhm-release-operator.ps1,369,Copy-Item -LiteralPath $BackupRoot -Destination $target -Recurse -Force
FILESYSTEM,scripts/bhm-repository-index.py,21,ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm-repository-index.py,53,"path.write_text(rendered, encoding=""utf-8"", newline=""\n"")"
FILESYSTEM,scripts/bhm-repository-index.py,59,"payload = json.loads(path.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-security-trust-boundary.py,20,"payload = json.loads(args.fixture.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-security-trust-boundary.py,30,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-session-capture.py,20,target = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-session-capture.py,22,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-session-capture.py,28,"payload = json.loads(Path(path).expanduser().resolve().read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-task-graph.py,22,target = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-task-graph.py,24,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-task-graph.py,30,"payload = json.loads(Path(path).expanduser().resolve().read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-task-graph.py,61,database = Path(args.database).expanduser().resolve()
FILESYSTEM,scripts/bhm-unified-context.py,16,ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm-unified-context.py,23,target = Path(report).expanduser().resolve()
FILESYSTEM,scripts/bhm-unified-context.py,25,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm-unified-context.py,31,"payload = json.loads(Path(path).expanduser().resolve().read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-unified-context.py,56,root = Path(args.root).expanduser().resolve()
FILESYSTEM,scripts/bhm-unified-mcp.py,13,ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm-unified-mcp.py,25,"payload = json.loads(args.fixture.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm-unified-mcp.py,41,"target.write_text(rendered + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm_classify_projection_orphans.py,19,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm_classify_projection_orphans.py,75,"path.write_text(json.dumps(report, ensure_ascii=False, indent=2) + ""\n"", encoding=""utf-8"")"
FILESYSTEM,scripts/bhm_crystallize_worker.py,38,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm_crystallize_worker.py,382,return Path(value).expanduser().resolve()
FILESYSTEM,scripts/bhm_crystallize_worker.py,386,return Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm_crystallize_worker.py,408,"raw = path.read_text(encoding=""utf-8"").strip()"
FILESYSTEM,scripts/bhm_graph_healer.py,26,REPO_ROOT = Path(__file__).resolve().parents[1]
FILESYSTEM,scripts/bhm_launcher.py,275,return Path(raw).resolve() if raw else None
FILESYSTEM,scripts/bhm_launcher.py,280,return Path(sys.executable).resolve().parent
FILESYSTEM,scripts/bhm_launcher.py,281,return Path(__file__).resolve().parent
FILESYSTEM,scripts/bhm_launcher.py,312,"return Path(base) / ""BlackHoleMemory"""
FILESYSTEM,scripts/bhm_launcher.py,332,"payload = json.loads(path.read_text(encoding=""utf-8""))"
FILESYSTEM,scripts/bhm_launcher.py,355,"return shutil.which(""docker"") is not None"
FILESYSTEM,scripts/bhm_launcher.py,363,"shutil.which(""python""),"
FILESYSTEM,scripts/bhm_launcher.py,364,"shutil.which(""py""),"
FILESYSTEM,scripts/bhm_launcher.py,365,"shutil.which(""python3""),"
FILESYSTEM,scripts/bhm_launcher.py,385,"shutil.copy2(source, destination)"
FILESYSTEM,scripts/bhm_launcher.py,398,return source.resolve()
FILESYSTEM,scripts/bhm_launcher.py,401,shutil.rmtree(destination)
FILESYSTEM,scripts/bhm_launcher.py,403,"shutil.copytree(source, destination)"
FILESYSTEM,scripts/bhm_launcher.py,404,return destination.resolve()
FILESYSTEM,scripts/bhm_launcher.py,419,"return ""setuptest"" in Path(sys.executable).stem.lower()"
FILESYSTEM,scripts/bhm_launcher.py,443,"path.open(""a"", encoding=""utf-8"").write(f""[{now_text()}] {line}\n"")"
FILESYSTEM,scripts/bhm_launcher.py,785,"current = json.loads(path.read_text(encoding=""utf-8""))"
